incipient,intensification,mature,decay
1987-06-13 20:00:00,1987-06-14 08:00:00,1987-06-18 22:00:00,1987-06-20 04:00:00
1987-06-14 07:00:00,1987-06-18 21:00:00,1987-06-20 03:00:00,1987-06-22 00:00:00
