intensification,incipient,intensification 2,mature,decay
1984-04-11 22:00:00,1984-04-13 13:00:00,1984-04-14 03:00:00,1984-04-15 22:00:00,1984-04-16 11:00:00
1984-04-13 12:00:00,1984-04-14 02:00:00,1984-04-15 21:00:00,1984-04-16 10:00:00,1984-04-17 07:00:00
