time;min_max_zeta_850
1981-10-12 22:00:00;-1.3860740000000002e-05
1981-10-12 23:00:00;-1.389319e-05
1981-10-13 00:00:00;-1.3813960000000002e-05
1981-10-13 01:00:00;-1.385857e-05
1981-10-13 02:00:00;-1.3458710000000001e-05
1981-10-13 03:00:00;-1.4292400000000002e-05
1981-10-13 04:00:00;-1.4284650000000002e-05
1981-10-13 05:00:00;-1.4859970000000001e-05
1981-10-13 06:00:00;-1.5150660000000001e-05
1981-10-13 07:00:00;-1.537563e-05
1981-10-13 08:00:00;-1.5293070000000002e-05
1981-10-13 09:00:00;-1.4893850000000001e-05
1981-10-13 10:00:00;-2.188141e-05
1981-10-13 11:00:00;-2.1966860000000002e-05
1981-10-13 12:00:00;-2.158638e-05
1981-10-13 13:00:00;-2.1370480000000003e-05
1981-10-13 14:00:00;-2.1115330000000003e-05
1981-10-13 15:00:00;-2.1606740000000004e-05
1981-10-13 16:00:00;-2.123321e-05
1981-10-13 17:00:00;-2.0217030000000002e-05
1981-10-13 18:00:00;-2.1117890000000003e-05
1981-10-13 19:00:00;-2.2026460000000004e-05
1981-10-13 20:00:00;-2.192531e-05
1981-10-13 21:00:00;-2.15642e-05
1981-10-13 22:00:00;-2.389418e-05
1981-10-13 23:00:00;-2.429026e-05
1981-10-14 00:00:00;-2.3253590000000003e-05
1981-10-14 01:00:00;-2.1838160000000004e-05
1981-10-14 02:00:00;-2.199149e-05
